dish,kcal,protein,carb,fat
紅蝦（一貫）,46.0,2.9,8.0,0.3
赤貝,68.0,4.2,11.9,0.4
竹莢魚,85.0,4.2,13.8,1.4
入味半熟蛋,140.0,7.0,22.8,2.3
星鰻,94.0,4.7,15.3,1.6
炙烤起司鮮蝦,97.0,3.6,9.7,4.8
美乃滋焗烤風炙烤鮮蝦,186.0,7.0,18.6,9.3
炙烤起司鮭魚,120.0,4.5,12.0,6.0
炙烤起司豬五花,146.0,5.5,14.6,7.3
甜蝦,77.0,4.8,13.5,0.4
甜蝦美乃滋,111.0,4.2,11.1,5.6
魷魚,73.0,4.6,12.8,0.4
魷魚秋葵,87.0,5.4,15.2,0.5
魷魚天婦羅握壽司,201.0,5.0,20.1,11.2
鮭魚卵,93.0,4.7,12.8,2.6
活締巴沙魚,75.0,3.8,12.2,1.2
稻荷壽司,117.0,5.9,19.0,2.0
肥美伊比利亞豬肉,115.0,5.8,18.7,1.9
鰻魚雞蛋,129.0,6.5,17.7,3.6
海膽海鮮軍艦,89.0,4.5,14.5,1.5
美味醬汁牛五花,102.0,3.8,10.2,5.1
美味醬汁鮭魚,103.0,5.2,14.2,2.9
美味醬汁鮪魚軍艦,107.0,5.4,14.7,3.0
鮮蝦,74.0,3.7,12.0,1.2
酪梨鮮蝦,118.0,5.9,19.2,2.0
鮮蝦天婦羅壽司,135.0,3.4,13.5,7.5
天婦羅蝦手卷（一貫）,113.0,2.8,11.3,6.3
鮮蝦美乃滋,182.0,6.8,18.2,9.1
魚鰭邊肉（鰈魚）,94.0,4.7,15.3,1.6
大片肥美活締鯖魚（一貫）,69.0,4.3,12.1,0.4
大片　小鰤魚（一貫）,60.0,3.8,10.5,0.3
大片　柚子鹽鮭魚（一貫）,59.0,3.7,10.3,0.3
大顆貝柱（一貫）,51.0,3.2,8.9,0.3
青紫蘇魚鰭邊肉（鰈魚）,94.0,4.7,15.3,1.6
青紫蘇生章魚,71.0,4.4,12.4,0.4
青紫蘇　松魷,73.0,3.7,11.9,1.2
大份貝柱,79.0,4.0,12.8,1.3
洋蔥鮭魚,116.0,5.8,16.0,3.2
海鮮細卷,176.0,8.8,28.6,2.9
生拌海鮮,122.0,6.1,19.8,2.0
鯡魚卵軍艦,94.0,4.7,15.3,1.6
蟹肉美乃滋,120.0,4.5,12.0,6.0
蟹黃,86.0,4.3,14.0,1.4
生拌蟹肉,112.0,5.6,18.2,1.9
乾瓢卷,149.0,7.5,24.2,2.5
牛肉壽喜燒風味軍艦,144.0,7.2,23.4,2.4
黃瓜卷,120.0,6.0,19.5,2.0
究極醃漬長鰭鮪魚,91.0,4.5,12.5,2.5
玉米,169.0,8.5,27.5,2.8
究極美味蟹味棒,84.0,4.2,13.7,1.4
日本國產 醬油醃漬螢火魷,70.0,3.5,11.4,1.2
鮭魚,93.0,4.7,12.8,2.6
鮭魚酪梨起司,116.0,4.3,11.6,5.8
鯖魚紫蘇昆布卷,85.0,4.2,11.7,2.4
沙拉,178.0,8.9,28.9,3.0
海鮮沙拉,141.0,7.1,22.9,2.3
熟成炙烤鮪魚大肚（一貫）,77.0,4.8,13.5,0.4
熟成炙烤鮪魚中肚（一貫）,72.0,4.5,12.6,0.4
熟成鮪魚大肚（一貫）,77.0,4.8,13.5,0.4
熟成鮪魚中肚（一貫）,72.0,4.5,12.6,0.4
熟成醃漬鮪魚,85.0,4.2,11.7,2.4
熟成長鰭鮪魚,82.0,4.1,11.3,2.3
熟成河豚（一貫）,39.0,2.4,6.8,0.2
熟成鮪魚,82.0,4.1,11.3,2.3
漬物壽司卷,141.0,7.1,22.9,2.3
章魚海膽,91.0,5.7,15.9,0.5
玉子燒,114.0,5.7,18.5,1.9
鱈魚白子柚醋凍軍艦,94.0,4.7,15.3,1.6
鱈魚子美乃滋軍艦,127.0,4.8,12.7,6.3
韓式醃鱈魚內臟,98.0,4.9,15.9,1.6
超熟成 鮪魚（一貫）,49.0,3.1,8.6,0.3
超熟成 真河豚（一貫）,36.0,2.2,6.3,0.2
鮪魚沙拉,163.0,8.2,22.4,4.5
蛾螺,69.0,3.5,11.2,1.1
鐵火卷,136.0,6.8,22.1,2.3
照燒雞肉,139.0,7.0,22.6,2.3
超大片　活締星鰻（一貫）,64.0,4.0,11.2,0.4
超大片鰻魚（一貫）,109.0,6.8,19.1,0.6
鮭魚肚,98.0,3.7,9.8,4.9
美味茄子,96.0,4.8,15.6,1.6
納豆,116.0,5.8,18.9,1.9
納豆壽司卷一條,160.0,8.0,26.0,2.7
生鮮蝦,78.0,3.9,12.7,1.3
生鮭魚（一貫）,49.0,3.1,8.6,0.3
生鮭魚軍艦,119.0,6.0,16.4,3.3
蔥花鮪魚,99.0,5.0,13.6,2.8
蔥花鮪魚泥軍艦,115.0,5.8,15.8,3.2
蔥花鮪魚鐵火卷,155.0,7.8,21.3,4.3
濃郁切達起司天婦羅握壽司,167.0,4.2,16.7,9.3
小鰤魚,118.0,5.9,16.2,3.3
漢堡排,111.0,5.6,18.0,1.8
長鰭鮪魚肚,83.0,3.1,8.3,4.2
微辣山葵口味帆立貝裙,88.0,4.4,14.3,1.5
真沙丁魚,108.0,5.4,17.6,1.8
鮪魚醃黃蘿蔔軍艦,98.0,4.9,13.5,2.7
鮪魚醃黃蘿蔔手卷（一貫）,59.0,3.7,10.3,0.3
鮪魚酪梨起司,125.0,4.7,12.5,6.2
鮪魚肉膾,142.0,7.1,19.5,3.9
真章魚,76.0,4.8,13.3,0.4
松魷,73.0,3.7,11.9,1.2
明太子小黃瓜昆布卷,72.0,3.6,11.7,1.2
香烤魚腹,91.0,4.5,14.8,1.5
柚子鰈魚,90.0,4.5,14.6,1.5
柚子鹽炙烤鰹魚,89.0,4.5,14.5,1.5
蛤蜊　佐醬,117.0,5.9,19.0,2.0
星鰻黃瓜卷,155.0,7.8,25.2,2.6
炙烤培根 胡椒起司,155.0,5.8,15.5,7.8
活締大鮮蝦（一貫）,44.0,2.8,7.7,0.2
活締真鯛川燙,75.0,3.8,12.2,1.2
鰻魚肝,109.0,5.5,15.0,3.0
鰻魚黃瓜卷,171.0,8.6,23.5,4.8
AI生鯖魚,102.0,5.1,14.0,2.8
鮮蝦老虎壽司卷,183.0,9.2,29.7,3.0
天婦羅蝦山,290.0,7.2,29.0,16.1
洋蔥鮮蝦芝麻醬,96.0,4.8,15.6,1.6
洋蔥豬五花芝麻醬,115.0,4.3,11.5,5.8
【鹿兒島縣產】醃漬檸檬黃條鰤,92.0,4.6,15.0,1.5
【鹿兒島縣產】檸檬黃條鰤,86.0,4.3,14.0,1.4
生拌牛肉,128.0,6.4,20.8,2.1
日本國產炙烤黑喉魚（一貫）,48.0,3.0,8.4,0.3
日本國產天然 黑鯛,86.0,4.3,14.0,1.4
日本國產天然　黑鮪魚,104.0,5.2,14.3,2.9
極品鮪魚大肚拼盤,512.0,25.6,70.4,14.2
五種黏稠沙拉,84.0,4.2,13.7,1.4
鮭魚酪梨卷,227.0,11.4,31.2,6.3
鹽味蔥花鮭魚軍艦,145.0,7.2,19.9,4.0
熟成炙烤鮪魚中肚（二貫）,126.0,6.3,17.3,3.5
熟成鮪魚中肚（二貫）,126.0,6.3,17.3,3.5
熟成醃漬小鰤魚,108.0,5.4,14.9,3.0
熟成　真鯛,82.0,4.1,13.3,1.4
壽司店的韓式拌飯,123.0,6.2,20.0,2.0
奢華蟹肉拼盤,297.0,14.9,48.3,4.9
【仙台名產】烤牛舌（一貫）,56.0,3.5,9.8,0.3
份量十足的星鰻小黃瓜手卷,106.0,5.3,17.2,1.8
叉燒肉雞蛋（一貫）,215.0,13.4,37.6,1.2
超熟成 白帶魚（一貫）,60.0,3.8,10.5,0.3
超熟成 比目魚（一貫）,40.0,2.5,7.0,0.2
鹽麴醃漬天然鰤魚,107.0,5.4,14.7,3.0
超大楚蟹（一貫）,43.0,2.7,7.5,0.2
松露生鮭魚（一貫）,77.0,4.8,13.5,0.4
入口即化星鰻天婦羅握壽司（一貫）,96.0,2.4,9.6,5.3
鮪魚肚肉鐵火卷,196.0,7.3,19.6,9.8
韓式章魚牛腸鮮蝦壽司,137.0,8.6,24.0,0.8
濃厚海膽（一貫）,48.0,3.0,8.4,0.3
伏黑與釘崎的香酥薑汁燒肉,151.0,3.8,15.1,8.4
北海道牛烤牛肉 黑松露醬（一貫）,67.0,4.2,11.7,0.4
正宗牛肉漢堡排,129.0,6.5,21.0,2.1
楚蟹（一貫）,36.0,2.2,6.3,0.2
楚蟹二種拼盤,71.0,3.6,11.5,1.2
鮪魚拳頭飯糰,89.0,4.5,12.2,2.5
真鯛天婦羅握壽司（一貫）,86.0,2.1,8.6,4.8
紋甲花枝,69.0,3.5,11.2,1.1
含石蓴　赤味噌湯,62.0,6.2,3.1,2.8
含石蓴　味噌湯,51.0,5.1,2.6,2.3
炸章魚燒,200.0,5.0,20.0,11.1
蛤蜊赤味噌湯,52.0,5.2,2.6,2.3
蛤蜊味噌湯,42.0,4.2,2.1,1.9
炸魷魚軟骨,145.0,3.6,14.5,8.1
虎杖的麻辣担担乾麵,432.0,16.2,64.8,12.0
伊比利亞豬可樂餅,180.0,2.2,42.8,0.0
鰻魚蓋飯（壽司飯）,625.0,31.2,85.9,17.4
鰻魚蓋飯（白飯）,532.0,26.6,73.2,14.8
炸蝦天婦羅烏龍麵,274.0,6.9,27.4,15.2
鮮蝦與當季食材之天婦羅蓋飯（壽司飯）,730.0,18.2,73.0,40.6
鮮蝦與當季食材之天婦羅蓋飯（白飯）,718.0,17.9,71.8,39.9
鮮蝦青花菜沙拉,100.0,5.0,16.2,1.7
兒童午間套餐,208.0,10.4,33.8,3.5
刺身　五種拼盤,115.0,17.2,2.9,3.8
海鮮炸什錦蔬菜烏龍麵,757.0,18.9,75.7,42.1
奶油蟹肉可樂餅,383.0,4.8,91.0,0.0
豆皮烏龍麵,292.0,10.9,43.8,8.1
藏高湯十足的日式煎蛋捲,198.0,19.8,9.9,8.8
【藏生魚片系列】鮭魚（不加壽司飯）,54.0,2.7,7.4,1.5
【藏生魚片系列】熟成鮪魚（不加壽司飯）,37.0,1.9,5.1,1.0
【藏生魚片系列】柚子鹽鰹魚半敲燒（不加壽司飯）,48.0,2.4,7.8,0.8
藏薯條,396.0,9.9,39.6,22.0
玉米濃湯風味可樂餅,258.0,3.2,61.3,0.0
炸小蝦,69.0,1.7,6.9,3.8
芝麻香擔擔麵,423.0,15.9,63.4,11.8
炸鮭魚條（起司醬）,223.0,5.6,22.3,12.4
【讚岐】釜揚烏龍麵,243.0,9.1,36.4,6.8
【讚岐】生雞蛋烏龍麵,281.0,10.5,42.1,7.8
【讚岐】竹輪天婦羅醬汁烏龍麵（涼麵）,368.0,9.2,36.8,20.4
【讚岐】特製雞蛋醬油烏龍麵,235.0,8.8,35.2,6.5
【讚岐】松露奶油,372.0,13.9,37.2,18.6
純紅味噌湯,43.0,4.3,2.1,1.9
時令海鮮丼飯,462.0,23.1,75.1,7.7
純味噌湯,32.0,3.2,1.6,1.4
壽司店的炸壽司飯丸咖哩烏龍麵,502.0,12.6,50.2,27.9
壽司店的炸壽司飯丸咖哩烏龍麵（甜味）,509.0,12.7,50.9,28.3
【世界美食】烤鴨肉 搭配松露醬,112.0,5.6,18.2,1.9
【世界美食】蔬菜炒肉,208.0,10.4,33.8,3.5
【世界美食】烤雞,108.0,5.4,17.6,1.8
南蠻雞,372.0,18.6,60.5,6.2
天然魚赤味噌湯,168.0,16.8,8.4,7.5
天然魚味噌湯,157.0,15.7,7.9,7.0
天然高湯烏龍麵,227.0,8.5,34.0,6.3
十勝毛豆,86.0,12.9,2.1,2.9
特等鰻魚蓋飯（壽司飯）,815.0,40.8,112.1,22.6
特等鰻魚蓋飯（白飯）,722.0,36.1,99.3,20.1
特製咖哩口味可樂餅,218.0,2.7,51.8,0.0
特製茶碗蒸,67.0,0.8,15.9,0.0
七種魚介 醬油拉麵,286.0,10.7,42.9,7.9
七種魚介 醬油拉麵（不加溏心滷蛋）,259.0,9.7,38.9,7.2
七種魚介濃厚味噌拉麵,285.0,10.7,42.8,7.9
7種魚介濃厚味噌拉麵（不加溏心滷蛋）,258.0,9.7,38.7,7.2
炸軟骨,150.0,3.8,15.0,8.3
燉煮叉燒肉可樂餅,225.0,2.8,53.4,0.0
黏黏拌海鮮,150.0,7.5,24.4,2.5
Bikkurapon!嚴選6貫組合,263.0,13.2,42.7,4.4
魚翅羹茶碗蒸,82.0,1.0,19.5,0.0
藤原系 禁斷的香蒜MAX拌麵,778.0,29.2,116.7,21.6
搖搖藏薯條 法式高湯口味,245.0,6.1,24.5,13.6
摇摇藏薯條 鹽味海苔,240.0,6.0,24.0,13.3
北海道軟Q起司薯餅,269.0,10.1,26.9,13.4
香煮鮪魚迷你蓋飯,312.0,15.6,42.9,8.7
日式龍田炸鮪魚,175.0,4.4,17.5,9.7
小塊炸雞塊,149.0,3.7,14.9,8.3
明太子奶油茶碗蒸,95.0,1.2,22.6,0.0
和牛可樂餅,210.0,2.6,49.9,0.0
秸稈烤鰹魚半敲燒,84.0,4.2,13.7,1.4
竹莢魚天婦羅拼盤,187.0,4.7,18.7,10.4
魷魚天婦羅,136.0,3.4,13.6,7.6
鮮蝦天婦羅,75.0,1.9,7.5,4.2
炸洋蔥圈,103.0,2.6,10.3,5.7
玉米炸什錦,194.0,4.9,19.4,10.8
【北海道產】魷魚乾天婦羅,188.0,4.7,18.8,10.4
【健康迷你杯裝】沖繩水雲,40.9,2.0,6.6,0.7
【健康迷你杯裝】海藻沙拉,7.5,0.4,1.2,0.1
【健康迷你杯裝】醋漬南瓜與番薯,82.5,4.1,13.4,1.4
【健康迷你杯裝】蔬菜壽司 鮭魚,35.8,1.8,4.9,1.0
【健康迷你杯裝】蔬菜壽司 鮪魚,30.7,1.5,4.2,0.9
【健康迷你杯裝】餐前醋　蘋果,23.4,0.3,5.6,0.0
【健康迷你杯裝】洋蔥冷湯,69.0,6.9,3.5,3.1
【健康迷你杯裝】豆漿布丁（草莓醬）,38.3,0.5,5.7,1.5
【健康迷你杯裝】花椰菜沙拉（鯷魚美乃滋）,67.5,2.5,6.8,3.4
【健康迷你杯裝】溫和的番茄,9.6,0.5,1.6,0.2
【健康迷你杯裝】【使用山形產香草雞】雞肉沙拉,36.0,5.4,0.9,1.2
【健康迷你杯裝】柚子白菜,14.3,0.7,2.3,0.2
草莓風味果凍（優格慕斯）,159.0,2.0,37.8,0.0
橙香濃醇巧克力甜點,275.0,3.4,41.2,10.7
切塊鳳梨,43.0,0.5,10.2,0.0
完熟愛文芒果,88.0,1.1,20.9,0.0
令人感動的布丁,197.0,2.5,29.5,7.7
胡蘿蔔蛋糕,192.0,2.4,28.8,7.5
京都風蕨餅,168.0,2.1,25.2,6.5
巨峰葡萄雪酪,53.0,0.7,12.6,0.0
經典鬆餅,234.0,2.9,35.1,9.1
藏糰子 紅豆沙餡,159.0,2.0,23.8,6.2
藏糰子　抹茶,194.0,2.4,46.1,0.0
藏糰子　日式醬油糰子,141.0,1.8,21.1,5.5
黑蜜黃豆粉布丁,180.0,2.2,27.0,7.0
巧克力米粉蛋糕,177.0,2.2,26.6,6.9
香酥軟Q的多拿滋球,407.0,10.2,40.7,22.6
鮮榨蒙布朗（栗子）,332.0,16.6,54.0,5.5
【餐後甜點】2種原創餅乾,52.0,0.7,7.8,2.0
【餐後甜點】鮮奶油巧克力2個,110.0,1.4,16.5,4.3
【世界美食】阿爾法赫夾心餅,163.0,8.2,26.5,2.7
【世界美食】Pappa麵包,244.0,9.2,36.6,6.8
【世界美食】楓糖鬆餅,80.0,1.0,12.0,3.1
拔絲地瓜條,138.0,6.9,22.4,2.3
份量十足的白巧克力冰淇淋,99.0,1.2,14.8,3.8
起司蛋糕,81.0,1.0,12.2,3.1
巧克力冰淇淋,42.0,0.5,6.3,1.6
巧克力淋面小泡芙,169.0,2.1,25.3,6.6
巧克力蛋糕,107.0,1.3,16.1,4.2
滿滿巧克力的冰淇淋,93.0,1.2,13.9,3.6
豆乳冰淇淋,108.0,1.4,16.2,4.2
七海與五條的苦甜提拉米蘇,254.0,12.7,41.3,4.2
濃醇香草冰淇淋,77.0,1.0,11.5,3.0
香濃芒果霜淇淋,192.0,2.4,45.6,0.0
白桃義式奶酪,142.0,7.1,23.1,2.4
花開抹茶冰淇淋,167.0,2.1,39.7,0.0
脆皮巧克力冰淇淋,99.0,1.2,14.8,3.8
冰涼水果拼盤,79.0,4.0,12.8,1.3
葡萄風味果凍（優格慕斯）,156.0,2.0,37.0,0.0
布丁蛋塔,156.0,2.0,23.4,6.1
【獻禮】Happy！起司蛋糕,166.0,2.1,24.9,6.5
【獻禮】Happy！巧克力蛋糕,192.0,2.4,28.8,7.5
【獻禮】Happy！布丁,280.0,3.5,42.0,10.9
【獻禮】Happy！千層蛋糕,336.0,4.2,50.4,13.1
口感蓬鬆入口即化的烤起司蛋糕,215.0,2.7,32.2,8.4
甜品胃小份熱帶彈珠汽水聖代,163.0,2.0,24.4,6.3
莓果巧克力冰淇淋,100.0,1.2,15.0,3.9
Milky千層蛋糕,272.0,3.4,40.8,10.6
千層蛋糕,230.0,2.9,34.5,8.9
古早味柏餅,84.0,4.2,13.7,1.4
古早味艾草大福,147.0,7.4,23.9,2.5
夢之綿綿雪花冰 豐潤草莓,130.0,6.5,21.1,2.2
夢之綿綿雪花冰 豐潤草莓（不加煉乳）,104.0,5.2,16.9,1.7
夢之綿綿雪花冰 抹茶,254.0,3.2,60.3,0.0
夢之綿綿雪花冰 抹茶（不加煉乳）,227.0,2.8,53.9,0.0
夢之蔬菜綿綿雪花冰 草莓＆番茄,70.0,3.5,11.4,1.2
夢之蔬菜綿綿雪花冰 柳橙＆胡蘿蔔,57.0,2.9,9.3,0.9
夢之蔬菜綿綿雪花冰 綠果昔,60.0,3.0,9.8,1.0
香醇牛奶冰淇淋,145.0,1.8,21.8,5.6
龍馬鍾愛卡斯提拉蛋糕,101.0,1.3,15.1,3.9
宇治抹茶綠茶,3.0,0.0,0.7,0.0
甜橙,75.0,3.8,12.2,1.2
純米大吟釀　黃櫻S,184.0,9.2,29.9,3.1
SUPER DRY（生啤）,160.0,8.0,26.0,2.7
豆漿可爾必思®,63.0,3.2,10.2,1.0
Dry 低酒精 α,27.0,1.4,4.4,0.4
Dry Premium(中瓶）,240.0,12.0,39.0,4.0
乳酸菌水,76.0,3.8,12.3,1.3
低酒精梅酒,69.0,3.5,11.2,1.1
High-Ball,69.0,3.5,11.2,1.1
春鹿　純米超辛口,193.0,9.7,31.4,3.2
瓶裝啤酒,210.0,10.5,34.1,3.5
葡萄蘇打,62.0,0.8,14.7,0.0
極品冰咖啡,36.0,1.8,5.9,0.6
極品冰拿鐵,92.0,4.6,15.0,1.5
極品熱咖啡,28.0,1.4,4.5,0.5
極品熱拿鐵,83.0,4.2,13.5,1.4
Maruefu啤酒,156.0,7.8,25.4,2.6
【無添】可樂,108.0,1.4,25.6,0.0
有機葡萄酒,131.0,1.6,31.1,0.0
蘋果,82.0,1.0,19.5,0.0
冷酒(無添藏),200.0,10.0,32.5,3.3
